city+country,Value,wmo,lat,long,place,db_max,wb_max,city,country
rosario+argentina,1321765.262,874800,-32.904,-60.785,"ROSARIO, ARGENTINA",40.3,30.5,rosario,argentina
jiangyin+china,1315472.0,,,,,,,,
las vegas+u.s.,1314357.0,723677,35.654,-105.142,"LAS VEGAS MUNICIPAL, NM, USA",35.6,18.8,las vegas,u.s.
milwaukee+u.s.,1308913.0,,,,,,,,
liuyang+china,1307572.0,,,,,,,,
meerut+india,1305429.0,,,,,,,,
zanzibar+united republic of tanzania,1303569.0,,,,,,,,
goiânia+brazil,1297154.0,,,,,,,,
xuanwei+china,1292825.0,,,,,,,,
dengzhou+china,1290656.0,,,,,,,,
heze+china,1280031.0,,,,,,,,
antananarivo+madagascar,1275207.0,,,,,,,,
shantou+china,1270112.0,593160,23.400,116.683,"SHANTOU, CHINA",38.4,31.0,shantou,china
praha+czechia,1268796.0,,,,,,,,
leizhou+china,1268298.0,,,,,,,,
nizhny novgorod+russian federation,1266231.0,,,,,,,,
yongcheng+china,1264607.0,,,,,,,,
saitama+japan,1263979.0,,,,,,,,
xinyang+china,1255750.0,572970,32.133,114.050,"XINYANG, CHINA",39.0,30.1,xinyang,china
luzhou+china,1252884.0,576020,28.883,105.433,"LUZHOU, CHINA",39.7,30.0,luzhou,china
kalyan dombivali+india,1247327.0,,,,,,,,
changshu+china,1239637.0,,,,,,,,
mérida+mexico,1237697.0,,,,,,,,
taixing+china,1235454.0,,,,,,,,
laiwu+china,1233525.0,,,,,,,,
xiaoshan+china,1233348.0,,,,,,,,
yiyang+china,1228881.0,,,,,,,,
