Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2020-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Sun, 01 Nov 2020 17:08:57 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1985-0257-GRC,1985,0257,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,Greece,GRC,Southern Europe,Europe,Countrywide,,,,,,,,,°C,,,,,1985,8,5,1985,8,5,20,,,,,,,,42.07452677
1986-0015-CHN,1986,0015,Natural,Meteorological,Extreme temperature,Cold wave,,,Affect,China,CHN,Eastern Asia,Asia,Northwest,,,,,,,,,°C,,,,,1986,,,1986,,,2,,30000,,30000,,,,42.87312983
1987-0596-GRC,1987,0596,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,Greece,GRC,Southern Europe,Europe,,,,,,No,No,,41,°C,,,,,1987,7,20,1987,7,31,1000,,,,,,,,44.44423842
1987-0296-HKG,1987,0296,Natural,Meteorological,Extreme temperature,Cold wave,,,Kill,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,°C,,,,,1987,11,28,1987,11,28,10,7,,,7,,,,44.44423842
1988-0191-BRA,1988,0191,Natural,Meteorological,Extreme temperature,Cold wave,,,Kill,Brazil,BRA,South America,Americas,,,,,,,,,,°C,,,,,1988,5,,1988,5,,77,,,,,,,,46.25655683
1988-0298-GRC,1988,0298,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,Greece,GRC,Southern Europe,Europe,,,,,,,,,,°C,,,,,1988,7,3,1988,7,3,56,,,,,,,,46.25655683
1979-0045-IND,1979,0045,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,India,IND,Southern Asia,Asia,Bihar,,,,,,,,,°C,,,,,1979,5,,1979,5,,300,,,,,,,,28.3875989
1979-0061-IND,1979,0061,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,India,IND,Southern Asia,Asia,Rajasthan,,,,,,,,,°C,,,,,1979,7,,1979,7,,100,,,,,,,,28.3875989
1979-0062-PAK,1979,0062,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,Pakistan,PAK,Southern Asia,Asia,"Sind, Punjab",,,,,,,,,°C,,,,,1979,7,,1979,7,,70,,,,,,,,28.3875989
1980-0012-IND,1980,0012,Natural,Meteorological,Extreme temperature,Cold wave,,,Kill,India,IND,Southern Asia,Asia,Bihar,,,,,,,,,°C,,,,,1980,1,,1980,1,,79,,,,,,,,32.23389323
1980-0357-IND,1980,0357,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,India,IND,Southern Asia,Asia,"Bihar, Uttar Pradesh states",,,,,,,,40,°C,,,,,1980,4,29,1980,4,29,50,,,,,,,,32.23389323
1981-0003-IND,1981,0003,Natural,Meteorological,Extreme temperature,Cold wave,,,Kill,India,IND,Southern Asia,Asia,Northern,,,,,,,,,°C,,,,,1981,1,,1981,1,,300,,,,,,,,35.56517152
1982-0129-IND,1982,0129,Natural,Meteorological,Extreme temperature,Cold wave,,,Kill,India,IND,Southern Asia,Asia,Northern,,,,,,,,,°C,,,,,1982,12,,1982,12,,400,,,,,,,,37.74582208
1983-0011-PER,1983,0011,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,Peru,PER,South America,Americas,Lima,,,,,,,,,°C,,,,,1983,1,,1983,1,,17,,2700,,2700,,,,38.9583793
1984-0115-IND,1984,0115,Natural,Meteorological,Extreme temperature,Cold wave,,,Kill,India,IND,Southern Asia,Asia,Northeast,,,,,,,,,°C,,,,,1984,12,,1984,12,,290,,,,,,,,40.63380386
1985-0141-IND,1985,0141,Natural,Meteorological,Extreme temperature,Cold wave,,,Kill,India,IND,Southern Asia,Asia,"Bihar, Uttar Pradesh, Jammu and Kashmir, Gujarat",,,,,,,,,°C,,,,,1985,12,26,1985,12,26,225,,,,,,,144000,42.07452677
1985-0069-IND,1985,0069,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,India,IND,Southern Asia,Asia,Bihar,,,,,,,,46,°C,,,,,1985,6,6,1985,6,6,103,,,,,,,,42.07452677
1987-0104-IND,1987,0104,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,India,IND,Southern Asia,Asia,Rajasthan,,,,,,,,,°C,,,,,1987,6,,1987,6,,100,,,,,,,,44.44423842
1987-0298-NPL,1987,0298,Natural,Meteorological,Extreme temperature,Heat wave,,,Govern,Nepal,NPL,Southern Asia,Asia,Nepalguni,,,,,,,,,°C,,,,,1987,4,,1987,4,,,10,,,10,,,,44.44423842
1988-0183-IND,1988,0183,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,India,IND,Southern Asia,Asia,"Northern, Western, Central India",,,,,,,,,°C,,,,,1988,5,,1988,5,,418,200,,,200,,,,46.25655683
1988-0190-IND,1988,0190,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,India,IND,Southern Asia,Asia,Rajasthan,,,,,,,,,°C,,,,,1988,5,,1988,5,,32,,,,,,,,46.25655683
1988-0029-MEX,1988,0029,Natural,Meteorological,Extreme temperature,Cold wave,,,Kill,Mexico,MEX,Central America,Americas,,,,,,,,,,°C,,,,,1988,1,,1988,1,,23,,,,,,,600,46.25655683
1980-0063-USA,1980,0063,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,United States of America (the),USA,Northern America,Americas,"Kansas City, Missouri, St Louis, Missouri, Memphis, Tennessee",,Drought,,,No,No,,,°C,,,,,1980,6,,1980,9,,1260,,,,,,,2000000,32.23389323
1983-0503-USA,1983,0503,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,°C,,,,,1983,7,,1983,7,,188,,,,,,,,38.9583793
1986-0249-USA,1986,0249,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,United States of America (the),USA,Northern America,Americas,"Carolina, Alabama, Georgia, Virginia, Maryland",,Drought,,,No,No,,,°C,,,,,1986,7,,1986,8,,48,,,,,,,1750000,42.87312983
1987-0382-TUR,1987,0382,Natural,Meteorological,Extreme temperature,Cold wave,,,Kill,Turkey,TUR,Western Asia,Asia,Istanbul,,,,,,,,,°C,,,,,1987,3,,1987,3,,30,,,,,,,,44.44423842
1987-0329-USA,1987,0329,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,°C,,,,,1987,7,,1987,7,,80,,,,,,,,44.44423842
1988-0308-YUG,1988,0308,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,Yugoslavia,YUG,Southern Europe,Europe,Belgrade (Serbia),,,,,,,,,°C,,,,,1988,7,11,1988,7,11,38,,,,,,,,46.25655683
